abnega;s.f.;abnegar
abnegado;adj. s.m.;abnegar
aboba;s.f.; cf. abobada, fl. do v. abobadar;abobar
abobada;s.f.; cf. abobada, fl. do v. abobadar;abobadar
abobadado;adj.;abobadar
abobado;adj.;abobadar
abobam;s.m.;abobar
abobe;v.;abobar
abobo;s.m.;abobar
abobora;s.2g.; cf. abobora, fl. do v. aboborar;aboborar
aboborado;adj.;aboborar
abobore;s.f.;aboborar
aboborei;s.f.;aboborar
abocanha;adj.;abocanhar
abocanhado;adj.;abocanhar
abocanham;s.m.;abocanhar
abole;adj.;abolar
aboli;s.m.;abolir
abolido;adj.;abolir
abomina;adj.2g.;abominar
abominado;adj.;abominar
abominando;adj.;abominar
abomino;adj.; f. (ó); pl. (ó);abominar
abona;s.f.;abonar
abonado;adj.;abonar
abonam;s.m.;abonar
abone;adj.;abonar
abonecado;adj.;abonecar
abono;s.m.;abonar
aborda;s.f.;abordar
abordada;s.f.;abordar
abordado;adj.;abordar
aborde;s.m.;abordar
abordo;s.m.; cf. abordo, fl. do v. abordar;abordar
aborrece;adj. s.m.;aborrecer
aborreci;adj.;aborrecer
aborrecido;adj.;aborrecer
aborta;s.f.;abortar
abortado;adj.;abortar
abortam;s.m.;abortar
aborte;s.m.;abortar
abortei;s.m.;abortar
aborto;s.m.; cf. aborto, fl. do v. abortar;abortar
abotoa;s.f.;abotoar
abotoado;adj. s.m.;abotoar
abotoam;s.m.;abotoar
abotoe;s.f.;abotoar
abotoei;s.f.;abotoar
abra;s.f.;abrir
abram;s.m.;abrir
abranda;adj.;abrandar
abrandado;adj.;abrandar
abrandam;s.m.;abrandar
abrande;v.;abrandar
abrange;adj. s.m.;abranger
abrangi;adj.;abranger
abrangido;adj.;abranger
abras;adj.;abrir
abrasa;adj.;abrasar
abrasado;adj.;abrasar
abrasam;s.m.;abrasar
abrase;adj.;abrasar
abrasileira;adj.;abrasileirar
abrasileirado;adj.;abrasileirar
abrasileiram;s.m.;abrasileirar
abraso;adj.;abrasar
abre;s.m.;abrir
abrenuncia;s.f.;abrenunciar
abrenunciado;adj.;abrenunciar
abrenuncio;s.m. interj.;abrenunciar
abrevia;s.f.;abreviar
abreviada;s.f.;abreviar
abreviado;adj. s.m.;abreviar
abreviam;s.m.;abreviar
abri;s.f.;abrir
abria;s.f.;abrir
abriga;s.f.;abrigar
abrigada;s.f.;abrigado
abrigada;s.f.;abrigado
abrigada;s.f.;abrigar
abrigado;adj. s.m.;abrigar
abrigam;s.m.;abrigar
abrigo;s.m.;abrigar
abrigos;adj.; f. (ó); pl. (ó);abrigo
abrigue;s.m.;abrigar
abriguei;s.m.;abrigar
abrilhanta;adj. s.2g.;abrilhantar
abrilhantado;adj.;abrilhantar
abrilhantam;s.m.;abrilhantar
abris;s.m.;abril
abris;s.m.;abrir
abro;s.m. "planta"; cf. abro, fl. do v. abrir;abrir
absinto;s.m.;absintar
absoluta;s.f.;absoluto
absoluta;s.f.;absoluto
absolve;adj. s.m.;absolver
absolvi;s.f.;absolver
absolvido;adj.;absolver
absorta;s.f.;absorto
absorta;s.f.;absorver
absorto;adj.;absorver
absorva;s.f.;absorver
absorve;s.m.;absorver
absorvi;s.f.;absorver
absorvida;s.f.;absorvido
absorvida;s.f.;absorver
absorvido;adj.;absorver
absorvo;s.m.;absorver
abstido;adj.;abster
abstrai;adj.;abstrair
abstrusa;s.f.;abstruso
abula;adj.;abolir
abulas;s.m.;abolir
abulo;s.f.;abolir
abunda;s.f.;abundar
abundado;adj.;abundar
abunde;s.f.;abundar
abundo;adj.; f. (ó); pl. (ó);abundar
aburguesa;adj.;aburguesar
